Squadra1;Squadra2;Gol1;Gol2;Esito;RisultatoText;Aggregato
Torino;Albinoleffe;3;12;B;0-6 3-6;0-2
Sassuolo;Albinoleffe;0;0;;n.d.;
Salernitana;Albinoleffe;0;0;;n.d.;
Piacenza;Mantova;0;0;;n.d.;
Salernitana;Ascoli;0;0;;n.d.;
Salernitana;Mantova;0;0;;n.d.;
Piacenza;Sassuolo;0;0;;n.d.;
Cittadella;Torino;0;0;;n.d.;
Sassuolo;Mantova;0;0;;n.d.;
Piacenza;Albinoleffe;0;0;;n.d.;
Sassuolo;Cittadella;0;0;;n.d.;
Piacenza;Ascoli;0;0;;n.d.;
Sassuolo;Salernitana;0;0;;n.d.;
Cittadella;Salernitana;0;0;;n.d.;
Albinoleffe;Mantova;0;0;;n.d.;
Sassuolo;Ascoli;0;0;;n.d.;
Cittadella;Albinoleffe;0;0;;n.d.;
Cittadella;Ascoli;0;0;;n.d.;
Piacenza;Salernitana;0;0;;n.d.;
Sassuolo;Torino;0;0;;n.d.;
Torino;Mantova;0;0;;n.d.;
Ascoli;Torino;0;0;;n.d.;
Piacenza;Torino;0;0;;n.d.;
Piacenza;Cittadella;0;0;;n.d.;
Ascoli;Mantova;0;0;;n.d.;
Ascoli;Albinoleffe;0;0;;n.d.;
Cittadella;Mantova;0;0;;n.d.;
Salernitana;Torino;0;0;;n.d.;
Modena;Frosinone;0;0;;n.d.;
Padova;Frosinone;0;0;;n.d.;
Modena;Crotone;0;0;;n.d.;
Ancona;Frosinone;0;0;;n.d.;
Cesena ;Frosinone;0;0;;n.d.;
Padova;Crotone;0;0;;n.d.;
Padova;Cesena ;0;0;;n.d.;
Ancona;Cesena ;0;0;;n.d.;
Padova;Ancona;0;0;;n.d.;
Crotone;Cesena ;0;0;;n.d.;
Brescia;Frosinone;0;0;;n.d.;
Brescia;Ancona;0;0;;n.d.;
Brescia;Crotone;0;0;;n.d.;
Ancona;Modena;0;0;;n.d.;
